,date,trips,duration,gender_0_%,gender_1_%,gender_2_%
0,2015-01-01,5317,801.807,12.53,67.41,20.07
1,2015-01-02,11304,731.241,5.68,75.09,19.23
2,2015-01-03,4478,655.284,5.05,71.8,23.16
3,2015-01-04,7849,679.554,5.01,73.05,21.94
4,2015-01-05,14506,637.812,1.72,81.24,17.03
5,2015-01-06,8739,634.922,0.24,84.15,15.61
6,2015-01-07,9646,589.211,0.37,83.0,16.63
7,2015-01-08,8779,595.861,0.52,82.95,16.53
8,2015-01-09,7930,636.658,0.49,84.24,15.27
9,2015-01-10,6109,596.026,1.23,78.02,20.76
10,2015-01-11,7467,623.072,2.3,75.18,22.51
11,2015-01-12,8645,623.688,0.69,82.67,16.63
12,2015-01-13,12797,618.488,0.58,81.77,17.65
13,2015-01-14,13086,623.028,0.92,81.19,17.9
14,2015-01-15,14075,633.401,1.31,81.02,17.67
15,2015-01-16,13843,625.371,1.69,80.57,17.74
16,2015-01-17,7491,657.246,4.23,73.5,22.27
17,2015-01-18,1795,723.474,1.5,80.17,18.33
18,2015-01-19,10710,691.727,2.88,76.8,20.33
19,2015-01-20,16129,647.867,1.59,80.51,17.9
20,2015-01-21,15234,626.849,1.12,80.6,18.28
21,2015-01-22,15864,640.543,1.25,80.45,18.29
22,2015-01-23,15737,639.561,1.97,80.04,17.99
23,2015-01-24,4814,630.303,2.33,78.85,18.82
24,2015-01-25,9379,721.27,4.57,73.48,21.94
25,2015-01-26,4141,665.114,0.58,84.26,15.17
26,2015-01-27,1214,956.271,2.39,86.16,11.45
27,2015-01-28,5401,850.457,0.61,84.98,14.4
28,2015-01-29,8870,751.908,1.05,82.83,16.12
29,2015-01-30,9015,651.474,0.89,82.32,16.79
30,2015-01-31,5188,626.782,1.35,78.82,19.83
