,date,trips,duration,gender_0_%,gender_1_%,gender_2_%
0,2013-07-01,16650,978.599,16.42,66.64,16.94
1,2013-07-02,22745,958.13,17.9,64.39,17.71
2,2013-07-03,21864,974.328,18.99,63.88,17.13
3,2013-07-04,22326,1273.108,48.25,37.71,14.04
4,2013-07-05,21842,1082.427,37.44,47.76,14.81
5,2013-07-06,20467,1159.576,43.8,41.82,14.38
6,2013-07-07,20477,1118.299,38.41,45.96,15.63
7,2013-07-08,21615,1289.53,19.05,63.21,17.74
8,2013-07-09,26641,965.931,16.1,65.58,18.32
9,2013-07-10,25732,931.917,15.63,65.6,18.77
10,2013-07-11,24417,1009.718,15.11,65.82,19.07
11,2013-07-12,19006,938.108,14.53,68.29,17.18
12,2013-07-13,26119,1116.94,30.17,50.66,19.18
13,2013-07-14,29287,1161.76,33.68,48.09,18.24
14,2013-07-15,28069,919.097,15.29,65.62,19.09
15,2013-07-16,29842,907.713,13.27,66.98,19.74
16,2013-07-17,30550,880.167,13.51,66.65,19.84
17,2013-07-18,28869,862.83,12.4,67.69,19.91
18,2013-07-19,26591,880.263,14.12,66.94,18.94
19,2013-07-20,25278,1076.869,29.95,51.27,18.78
20,2013-07-21,30297,1122.474,32.12,49.05,18.83
21,2013-07-22,25979,882.011,13.7,66.77,19.54
22,2013-07-23,32376,944.232,12.34,67.58,20.08
23,2013-07-24,35271,935.532,13.37,66.38,20.24
24,2013-07-25,31084,896.224,11.76,69.07,19.16
25,2013-07-26,34534,940.075,15.9,64.93,19.17
26,2013-07-27,32470,1134.864,33.79,47.71,18.49
27,2013-07-28,23508,1052.614,29.23,51.54,19.22
28,2013-07-29,34915,941.487,15.0,65.19,19.81
29,2013-07-30,37334,949.691,13.65,66.36,19.99
30,2013-07-31,37261,923.553,13.32,66.99,19.69
