,date,trips,duration,gender_0_%,gender_1_%,gender_2_%
0,2013-06-01,8722,2507.86,41.16,44.91,13.93
1,2013-06-02,15971,2066.266,67.25,24.76,7.99
2,2013-06-03,7598,1938.591,39.33,48.92,11.75
3,2013-06-04,15782,3116.572,44.18,44.44,11.38
4,2013-06-05,15690,2468.717,45.07,43.57,11.36
5,2013-06-06,12420,1748.57,44.48,44.23,11.3
6,2013-06-07,1226,1196.71,27.32,62.64,10.03
7,2013-06-08,18007,1689.772,63.84,27.69,8.46
8,2013-06-09,21034,1906.856,70.66,22.06,7.28
9,2013-06-10,3897,2063.934,33.18,55.4,11.42
10,2013-06-11,12596,1483.492,35.13,51.83,13.04
11,2013-06-12,16795,1468.57,41.41,46.11,12.48
12,2013-06-13,8016,1147.273,32.27,55.43,12.3
13,2013-06-14,14942,1186.639,40.24,47.68,12.09
14,2013-06-15,25178,1427.98,65.94,25.49,8.57
15,2013-06-16,21966,1376.744,63.62,27.61,8.77
16,2013-06-17,19659,1070.453,40.7,46.64,12.66
17,2013-06-18,13724,975.775,36.28,51.53,12.19
18,2013-06-19,24142,1186.764,36.48,50.29,13.23
19,2013-06-20,26603,1097.635,34.15,52.54,13.3
20,2013-06-21,27997,1102.513,36.29,50.7,13.02
21,2013-06-22,29281,1308.575,54.66,34.07,11.27
22,2013-06-23,28065,1356.196,51.9,36.18,11.92
23,2013-06-24,24251,997.676,27.45,57.4,15.15
24,2013-06-25,27827,947.709,24.05,60.07,15.87
25,2013-06-26,29499,946.597,22.8,60.69,16.51
26,2013-06-27,24334,1064.014,20.53,63.04,16.43
27,2013-06-28,27818,998.872,22.09,61.55,16.36
28,2013-06-29,29753,1211.688,41.12,44.1,14.77
29,2013-06-30,24909,1181.3,41.2,43.67,15.14
30,2013-07-01,1,634.0,,,
